Mã phân khúc KH cấp 3,Tên phân khúc KH cấp 3,COST_TYPE_COLOR
11,KHACH HANG DOANH NGHIEP LON,#FFB6C1
12,KHACH HANG DOANH NGHIEP VUA VA NHO (SMEs),#20B2AA
13,KHACH HANG DINH CHE TAI CHINH,#FFDAB9
14,KHACH HANG DOANH NGHIEP CO VON DAU TU NUOC NGOAI (FIE),#FFA07A
15,KHACH HANG NGUON VON UY THAC QUOC TE,#B3ED7F
19,KHACH HANG AO KHOI BAN BUON,#2D8509
21,KHACH HANG CA NHAN THONG THUONG,#E6E6FA
22,KHACH HANG CA NHAN VIP,#FAFAD2
23,KHACH HANG CA NHAN THAN THIET,#B0E0E6
24,KHACH HANG DOANH NGHIEP QUY MO SIEU NHO (ME),#8CE349
31,KHACH HANG KINH DOANH VON VA TIEN TE,#A9F75F
61,BO PHAN CHUNG,#95E059
90,KHACH HANG KHAC,#FF6347
99,UNALLOCABLE,#1F4D33
